Topic,Count,Name,Representation,Representative_Docs
82,51,82_idem_iden_zamg_,"['idem', 'iden', 'zamg', '', '', '', '', '', '', '']","['Idem', 'idem Done', 'Idem done']"
83,51,83_async_selfasync_setdefault_entrydataconf,"['async', 'selfasync', 'setdefault', 'entrydataconf', 'setup', 'setups', 'unload', 'reload', 'asd', 'restarted']","['You can remove async setup since', 'Move this to async setup entry so async setup can be removed.', 'Move this to before async setup entry']"
84,50,84_genericcamera_camera_jpeg_cameras,"['genericcamera', 'camera', 'jpeg', 'cameras', 'qr', 'images', 'png', 'svg', 'img', 'ffmpeg']","['Can we do SVG? I had it before, but with svg you got a problem with dark background color, because the ""white"" space between the black digits in the QR code is transparent ( will provide a screenshot today evening ) ok, let\'s keep it PNG. png svg --- --- ![image]( ![image]( qr code based on fake data', ""Should we call it image filename or would Gemini allow in the future any type of file to be uploaded? (Like OpenAI). If so, maybe we can call it file input or something. Currently only images are allowed. For any other mime type the API fails with: Failed to call service google generative ai conversation.generate content. Error generating content: 400 GenerateContentRequest.contents[0].parts[1].inline data.mime type: MIME type must be image png, image jpeg, image webp, image heic, or image heif. No idea if they plan on supporting other types. Let me know if we should go with file input to be future proof and document that only images are currently supported. Let's stick with image for now. If we allow other files, we can add a second arg. It's easier to create a selector when we allow only images."", 'We don\'t allow device and service interfacing integrations to calculate state. That\'s only allowed for template integrations and similar integrations that rely on other integrations for state. Device and service interfacing integrations should just set the state that is reported by their interface api. MartinHjelmare so does that mean the call to pyqrcode needs to be in the external library and passed into HA here, eg as an image? Or does the camera feed need to be generated there too? I hope my suggestion has not made this more complicated. My intention was the opposite It\'s ok to have the library return a camera image when requested. I don\'t understand completely what you mean with camera feed in this context. I think what MartinHjelmare means is to move generate guest wifi qr() into a separate class which lives in common.py. Did I understand correctly? No, we don\'t allow the integration to calculate the camera image. The camera image should come from the library api. If this is something that you want to add, the library needs to be updated to provide this image. Ok, now I understand. But if the project (fritzconnection) doesn\'t accept such a change (e.g. because there is a new requirement added (pyqrcode)) we could not add such a feature to Home Assistant? That\'s right? Could we go the ""service road"" (original PR) in such a case or isn\'t this allowed either? I don\'t think we should create the QR code image in the integration, either in a camera entity or service call. The idea is that integrations should express the device or service api features and not invent new features that aren\'t natively supported by the device or service api. Ok. I will close this PR until such a functionality is ready in the underlying library (which I will try to implement). FYI I started a discussion at the fritzconnection project ( MartinHjelmare kbr , the maintainer of fritzconnection , gave me the answer, that he don\'t itend to add such a functionality into fritzconnection because of the extra requirement of the QR code lib ( This means fritzconnection nor Home Assistant would like to implement such a functionality. Is there any chance to add this to HA except for a custom component? I think there may not be an obvious clean way to do this. Here are some ideas. 1. Feels like a long shot but maybe the [existing QR code HA integration]( could be somehow enhanced to not only read QR codes from video feeds but also generate qr codes from sensors, and expose them as an image somehow. But that is quite a stretch and might be best as a new integration. 2. Maybe a command line component to create the QR. 3. Maybe a separate [docker container to generate QR codes on demand]( Then you could use a jinja template to put a QR code on the HA user interface based on arbitrary text. There might be online services that will do this for free but I couldn\'t easily find any. 4. If you have a working cgi-bin locally, QR codes can be generated directly via a cgi script. [Here\'s a demo script I just made]( - feel free to use it. My idea behind doing this is to use the service to set a new guest wifi password (which I contributed here: and afterwards generate a new QR code. Every 24h! Due to this PR here it uses the underlying library to get the new password. With the suggested ideas there is no way to direct get the password. This needs extra configuration of the credentials elsewhere. If this is the way to go I would prefer writing a custom component. But what me make thinking about this is the statement from kbr in the fritzconnection discussion as he says: And I agree. I even thought HA should combine things and give new opportunities and not be limited by an underlying package....jm2c... Perhaps a good first step would be to add something that just exposed the password as a string. Then a string to QR code converter could achieve what you are looking for without having to add lots to either fritzconnection or HA. I don\'t know if it\'s a good practice to save credentials as a clear text string and make it accessible through HA frontend. If that is a concern, a QR code would open the same security hole. This is probably best discussed in the forum. But it\'s a little barrier because it\'s encrypted in an image. You must scan the code to retrieve the password.']"
85,50,85_unused_useless_removed_use,"['unused', 'useless', 'removed', 'use', 'used', 'appears', 'needed', 'nevermind', 'looks', '']","['This is unused', 'this seems to be unused?', ""This one's unused too""]"
86,50,86_stale_consistent_changed_bad,"['stale', 'consistent', 'changed', 'bad', 'good', 'vacuum', 'used', 'updated', 'constant', 'rules']","['Stale', 'stale name Done', 'stale']"
87,50,87_returns_return_returning_returned,"['returns', 'return', 'returning', 'returned', 'checking', 'retrieved', 'check', 'value', 'false', 'condition']","['Nothing is checking this return value.', 'The return value should be optional since we may return None .', 'Can this return None?']"
88,49,88_yaml_config_configuration_configurations,"['yaml', 'config', 'configuration', 'configurations', 'changes', 'env', 'pr', 'dev', 'integrations', 'integration']","['For integrations that connect to devices or services, we no longer accept new YAML configuration or changes. This integration needs to be refactored first to use a configuration flow and config entries first. More information about this can be found in Architecture Decision Record: - ADR-0010: decision See our developer documentation on how to get started creating a configuration flow for this integration: As these changes often involve a bit of work and some significant shift in the current code, we will close this PR for now. We (and our community!) would really appreciate it if you could start on the refactoring of this integration in a new PR. Thanks already! : 1:', 'For integrations that connect to devices or services, we no longer accept new YAML configuration or changes. This integration needs to be refactored first to use a configuration flow and config entries first. More information about this can be found in Architecture Decision Record: - ADR-0010: decision See our developer documentation on how to get started creating a configuration flow for this integration: As these changes often involve a bit of work and some significant shift in the current code, we will close this PR for now. We (and our community!) would really appreciate it if you could start on the refactoring of this integration in a new PR. Thanks already! : 1:', 'For integrations that connect to devices or services, we no longer accept new YAML configuration or changes. This integration needs to be refactored first to use a configuration flow and config entries first. More information about this can be found in Architecture Decision Record: - ADR-0010: decision See our developer documentation on how to get started creating a configuration flow for this integration: As these changes often involve a bit of work and some significant shift in the current code, we will close this PR for now. We (and our community!) would really appreciate it if you could start on the refactoring of this integration in a new PR. Thanks already! : 1:']"
89,49,89_ternary_ternarys_multiline_expression,"['ternary', 'ternarys', 'multiline', 'expression', 'lines', 'line', 'multilineternary', 'operator', 'spans', 'statements']","['Please make these if blocks when a ternary spans multiple lines. Thanks', 'Please split any multiline-ternary into an if block', 'This would be more readable if it was not a multiline ternary. Right, removed the ternary.']"
90,48,90_assert_asserts_asserting_assertions,"['assert', 'asserts', 'asserting', 'assertions', 'assertion', 'assertionerror', 'test', 'testcase', 'eval', 'statements']","['This is not possible so instead use assert', 'The assert is not needed here.', 'This assert should not be needed.']"
91,48,91_lowercase_uppercase_capitalized_capitalization,"['lowercase', 'uppercase', 'capitalized', 'capitalization', 'capitalize', 'renaming', 'naming', 'rename', 'renamed', 'case']","[""I'd keep the name as it's called in the library. Is there a reason to rename it? Renaming it makes it harder to look it up in the library. Please see my explanation in this PR: r1406576321 Right, but that's a problem that the library should solve. We shouldn't change the name here unless it's clearer but I don't think it is clearer."", 'I think lower is redundant here. capitalize should take care of it automatically. Nice! yes, tests pass with that.', ""Why do we capitalize the user name? It is first in the name instead of Tautulli. Should Tautulli be added in front of the username or do we just not capitalize the username? I don't think it is correct to capitalize usernames in general; they should be used as-is, because capitalization has meaning in usernames.""]"
92,47,92_deviceproperties_devicename_init_deviceinfo,"['deviceproperties', 'devicename', 'init', 'deviceinfo', 'attrs', 'attr', 'infoselfdevice', 'device', 'selfdev', 'startup']","['Use attr device info in init', 'With the change above you can move this to init with self. attr device info', 'You can set this as self. attr device info']"
93,47,93_coordinatorpy_coordinatordevice_coordinator_coordinatorasync,"['coordinatorpy', 'coordinatordevice', 'coordinator', 'coordinatorasync', 'coordinators', 'configentryerror', 'handlerspy', 'configentry', 'singletonpy', 'notifypy']","['please put the coordinator to a separate file', ""I like the idea! I don't really like the idea of splitting up the retrieving logic into the coordinator and this api class. What if in the init .py you (use a helper to) try to lookup the server type, after which we pass the MCServer to the coordinator. With as added benefit, if the server can't be looked up, we can say that the config entry is not ready. Then you can put the rest of the mapping logic in helpers to not make the coordinator one big pile of code. I think it would be nice if the coordinator shouldn't have to know what kind of server he is talking with and put those specifics away in functions, making the coordinator clean Good point, thanks : 1: I create now the API instance ( MinecraftServer ) in init .py and pass it to the coordinator. If a problem with the config entry is detected, ConfigEntryError is now raised (before, HomeAssistantError was raised instead in the coordinator). I also reached now a state, where I cannot further simplify the coordinator. It's now as simple as it can get :smile: I still stick to the server type stored in the config entry data and not to detect the server type in init .py due to the possibly long waiting times I mentioned before. BTW: ConfigEntryNotReady is already handled by coordinator.async config entry first refresh , called in async setup entry."", 'You can separate the coordinator in a coordinator.py file']"
94,46,94_snapshottesting_snapshot_snapshotassertion_snapshotting,"['snapshottesting', 'snapshot', 'snapshotassertion', 'snapshotting', 'snapshotupdate', 'snapshots', 'testing', 'test', 'tested', 'tests']","['I think we test this now with the snapshot test', 'No need to call snapshot as a function', 'You can use our new snapshot feature for this! Docs: snapshot-testing fixed to use snapshot']"
95,46,95_countdown_countdowns_timer_timers,"['countdown', 'countdowns', 'timer', 'timers', 'sensordeviceclasstimestamp', 'sensor', 'seconds', 'minutes', 'minute', 'duration']","[""What does this represent? I understand that it is a timer to turn off the fan. Based on the documentation, it differs from countdown set in that countdown is supported only by legacy versions. But does it count down during it as well? (same for countdown set ) From what I could understand, the same device will not have both functions. Legacy versions: countdown Other: countdown set That's why I implemented both. Do you think it's better to take this one off? ? I was not suggesting or implying any of that. The question is, how thus this data point behave. For example, does it count down during the count down itself as well? Based on other Tuya devices I've tested, this is just the timer setting, in this case there will be no feedback for the remaining time. Ok lets keep it for now, it matches specs."", ""This counts down the number of seconds. We don't allow that in sensors, instead calculate the datetime of when the timer finishes and use that (give it the timestamp device class as well). Additionally, this isn't a measurement? Actually it counts down the minutes left. countdown left Remaining time of countdown Integer { unit : min , min :0, max :1440, scale :0, step :1} I am not sure how to add this one correctly. frenck can you give me a hint or support on calculation of the datetime when the timer finishes? Currently I am using it as a sensor and it updates every minute until 0. Indeed it is not bad to see how much minutes are left instead of a timestamp. Calculate a datetime instead and return that :)"", 'Countdowns need to have the SensorDeviceClass.TIMESTAMP device class and provide a timestamp of when the countdown finishes. Mh... how to deal with the issue that I don\'t know seconds of the minute-based timers and the minutes and seconds of the hour-based timer? The device just gives me ""in 5 minutes"" and will change that information after one minute. If I do some datetime math and e.g. just add the minutes this would result in a value jumping back and forth: Let\'s assumed the timer was started at 20:15:25 and I just add real time timer value: Real Time Timer Value Resulting Timestamp ----- ----- ----- 20:15:25 5 20:20:25 20:16:05 5 20:21:05 20:16:25 4 20:20:25 20:17:05 4 20:21:05 20:17:25 3 20:20:25 20:18:05 3 20:21:05 20:18:25 2 20:20:25 20:19:05 2 20:21:05 20:19:25 1 20:20:25 20:20:05 1 20:21:05 This will get even worse with the hour based timer, which, set to 7 hours, will (after 59 minutes) still report 7 hours (will change to 6 after 60 minutes). Therefore, the timestamp will be wrong by one hour. This even happens if I e.g. always assume seconds (and minutes) to be 0 - either the assumed end timestamp is jumping or is incredibly unprecise. Any idea? That is actually really good reasoning, I wonder if we should make an exception for this case. MartinHjelmare May I ask for a second opinion on that one? The only other solution I can think of right now is that we don\'t update state again until the timer runs out, ie until current time passes the timestamp of the existing state. But I guess the timer can be changed during operation, so then that won\'t take effect until the old timer runs out, which is bad. Another idea: We could store the old timer value besides storing the timestamp as state. We only update state if the new timer value changes from the old timer value, eg from 5 to 4. If we then don\'t include more precision in our state timestamp than what the timer value represents, eg minutes or hours, we should be able to avoid jumps in the timestamp. Does that sound true? I see several problems when we start to try to fake the timestamp here: First, we would have to consider all the edge cases (including the one mentioned by MartinHjelmare, what happens if the timer was changed during operation). Manually decreasing the timer setting during operation is somehow easy to detect. But what happens if, e.g., after 59 minutes the hourly timer was turned off and on again (which might happen in real use). This would ""reset"" the hourly timer from 7:01 (internal value, sent by the device as 8 , since only 7:00 will change it to 7 ) to 8:00 (sent as 8 ). Our logic here could not detect that if power down up was done faster then pull interval (5 seconds), which is quite easy to do, it\'s just pressing the power button twice. Then the display in HA would show the timesamp ending 59 minutes too early. Another edge case: What happens if HA is rebooting during device hands-on actions starting or stopping or changing a timer? Or generally: Somebody uses the device control panel for changes. E.g., the physical setup I\'m going to build in my house: I have a tablet in the upstairs living room, where I can start the sauna (preheat, etc...). When it\'s fully heated, I will go down. After finishing sauna time, I directly deactivate the sauna device from a control panel which is directly in the sauna room and part of the device (water proof, so I prefer this to have in the steam cabine over a, e.g., Android tablet). Changes I do on this panel should correctly be visible to HA, e.g. if I go upstairs I want to check if everything (fan) turned off after a while, when the sauna is assumed to be cold and dry again. Same for the hot water tank: It looks crazy if the one sensor (water tank level) shows ""empty"", while the Home Assistant timer is saying ""I will empty that in 31 minutes and 45 seconds (this is part of the meaning of the hourly sweep timer). I\'m sure there are pretty more edge cases which we didn\'t discuss or think about yet. Furthermore, testing is quite heavy with an hour based timer and a device with 7.5kW power consumption... :laughing: So figuring out bugs could take a long time which I then would better need for paid work for the incoming energy bill. :laughing: Currently, the whole tolo integration (regarding device communication) is completely stateless. The device\'s state is reflected in 25 bytes (17 status, 8 settings, see which is received by the tololib dependency and after conversion to native Python types directly passed to and displayed by HA. Going the way of faking a value which is actually not there increases the total complexity of the integration and therefore increases the difficulty of maintenance, too. I would strongly vote for an exception in this case and just displaying the original value in a sensor as it currently done in the PR. My best and favourite argument: By convention, you want to show a timestamp (as it gives best precision, which I completely understand). But faking a precision which we don\'t have with heavy and most probably buggy (e.g. not considering all edge cases) logic and then probably showing the user wrong in information in high precision instead of showing the correct information in the original lower precision... it just feels quite wrong and, IMHO, shouldn\'t be the goal of this convention. You\'re first problem example is due to the involved precision from the API. If the API doesn\'t give better precision than hours the state can indeed be minutes off. I don\'t follow your second paragraph. Sorry. We want to use a timestamp as state instead of relative time when the relative time changes just because time passes. We don\'t want our state to change just because time passes. I think it\'s ok to use a relative time, as an exception here, if we don\'t update state more frequently than once per minute. Currently, we update all states of the tolo integration (e.g., temperature, water tank level, water tank temperature, ...) on a 5 second basis (since temperatures can actually change quite fast), sending one status request message and getting back a 17 byte UDP package, containing all the information, including the information we\'re discussing here. For reasons of simplicity, I would just return this value (as already coded in the pull request). Then, theoretically, it can get updated more frequently than once per minute. To be clear: Merging the pull request as it is does not increase network traffic polls ..., it just returns a value which is already known to the coordinator, since one status message contains all the information. There would be a specific request response possibilities for 3 of 4 of the possible timers, only sending back a single byte (plus overhead), but I would not use it since the information is already there in the coordinator. Alternatively, we decrease the the local pull interval for the whole integration, which significantly decreases UX (temperature values are quite relevant for the integration and may increase mich faster than one minute can reflect and might be useful to the user). E.g., with the 5 seconds update interval, I can see if the water tank is getting refilled (completely automatically), so the temperature decreases slightly, I can see the heater starting again, bringing the temperature up to 100 , all happening within 2-15 seconds (depending on the water inbound temperature). So, for UX, in my opinion not a good choice and significally reduces usefulness of the integration. Third option: In the getter, add new code which ""caches"" the last reply until one minute has passed and then use the actual value already known to the coordinator - and this does not make any sense I guess. Just for understanding... state change is different from returning a value for the sensor , right? A state change only occurs if the value getter returns something different to its previous call, right? If yes: Forget about my previous comment, then it\'s already implemented that way. Except heavy strange behavior of people administrating the device (turning it on off all the time or changing timer values all the time), the return value of the value getter for timer sensor entities will only change once per minute. The state won\'t be updated in the state machine unless the state or state attributes change, unless the entity has set force update to True. Then... it\'s all set. I don\'t play around with force update at all and (except of strange user behaviour) the value stays the same for 1 minute. And if you would be willing to accept the exception for this sensors to allow int (minutes) instead of timestamp for the timer... everything is implemented. Thanks for the discussion MartinHjelmare and frenck! Personal note: Sorry if I\'m annoying sometimes, I just want to get the best outcome for HA users of my integration, but I also have to learn a lot about HA, so I ask a lot of questions to really understand things... We have a common goal As there are no other attributes, and all units are minutes, and the native type is an integer. I think this is OK in that case, as we agreed to allow for it. Thank you very much!']"
96,46,96_strings_string_breaking_break,"['strings', 'string', 'breaking', 'break', 'lines', 'multiline', 'longer', 'length', 'shorter', 'line']","['Please break long strings around max 88 characters per line.', 'Please break long strings around max 88 characters per line.', 'Please break long strings around max 88 characters per line.']"
97,46,97____,"['', '', '', '', '', '', '', '', '', '']","['Same as above', 'Same as above', 'Same as above']"
98,45,98_const_consts_constnats_cluter,"['const', 'consts', 'constnats', 'cluter', 'underscore', 'variables', 'prefixed', 'homeassistantconstconf', 'standard', 'janiversen']","['Please move this out of const', ""there's a const for that"", 'Move these to .const?']"
99,45,99_searching_search_linear_optimized,"['searching', 'search', 'linear', 'optimized', 'searches', 'lookups', 'sets', 'lists', 'list', 'lookup']","['Is there a way we can avoid this linear search? This is going to get called for every zha row. If they have a ton of events we potentially have a large loop inside of a large loop which could be a scale issue I could drop the translation to the device trigger information? I think that would be slightly confusing to the users though. The problem is that I am using the trigger schemas to determine if there is a match. I may have an idea that could make it a bit better. Stay tuned. Thanks again for the assist!', 'Can this linear search be avoided? What about: There is always an attributes property, so we can remove the 1st condition. Applied your new code statement, however it is still some kind of linear search, just a bit more optimized.. Ideally this gets optimized in the future, but its ok for now', 'a set would have been better here to avoid linear search.']"
100,45,100_async_selfasync_superasync_entityasync,"['async', 'selfasync', 'superasync', 'entityasync', 'sync', 'writes', 'callback', 'write', 'state', 'statetrue']","['Did you intent to call self.async write ha state() as well here to update the state machine?', 'Did you intent to call self.async write ha state() as well here to update the state machine?', 'If its async you can use async write ha state']"
101,44,101_port_ports_selfport_cvport,"['port', 'ports', 'selfport', 'cvport', 'localhost', 'http', 'host', 'ip', 'input', 'config']","['data.get(CONF PORT, DEFAULT HTTP PORT) this repeats 3 times in this PR, can we make it a method that receives the data dict and return the port? get http port', ""How should the user know that they can enter port by using a colon in the host form? Normally the form name or description should inform the user what data should and can be entered. Do we have any precedence where the host form is used to enter both host and port? Please use lowercase snake case variable names. I updated the description for the host. We should also look at precedence. In the same commit, I updated variable names from hSplit to parts in two places. I was referring to this question: Yes, this is a well-known notation for specifying port in URLs: : :text Port 20numbers 20are 20sometimes 20seen,8080 20of 20the 20HTTP 20server. Right, but I mean in Home Assistant config flows. I am not aware of any precedence in Home Assistant. However in this case the use case for the user is exactly the same as in a browser. In a browser, there is a default port 80 and you don't have to specify it. Most non-dev people are not even aware of the possibility to specify a port in a browser. Similarly, in this case, most people will not use the port and it makes total sense not to put it in a separate field. I don't agree. We shouldn't introduce a new pattern in the config flow forms for a single integration. We should follow the common patterns in Home Assistant so that config forms are as familiar as possible between integrations. The only form item in Home Assistant that I'm aware accepting both host and port is the url form. If that doesn't fit this case, I suggest using separate forms for host and port. Side note: Please don't resolve the conversation if there's disagreement in the conclusion. I don't agree with you. Are you a gatekeeper for merging this PR? Can I disagree with you and still move forward with merging this PR? Should we wait for rytilahti to chime in on the subject? What if rytilahti does not agree with you either? Yes, it currently blocks this PR from being merged. Codeowners should also weigh in. If members disagree we'll need to find concensus among further members. I agree with Martin, this is not a good way to handle this input and also not the way this is commonly handled in Home Assistant either. Exactly that. Hey just curious as a user of tplink, how would you be able to change the port that these devices use? I thought they were hard coded to use port 9999"", ""We shouldn't store the port in the host config entry item and probably not ask for port in the same form item as host either. If any string splitting should be done it should be done in the config flow, since for the device api host doesn't include the port. Sometimes in integrations we ask for a url which can contain both host and port eg. So there may be some leeway in the form to ask for host and port combined. Codeowners should decide how they want the form. Thank you for your guidance. I modified the config flow. I still want to do host splitting, since most people will not specify a port, and the extra port field in UI will be confusing for them. I discussed that with Codeowners in python-kasa when I created PR to support passing a custom port.""]"
102,44,102_flowtest_abortflow_flowresulttypeabort_mockconfigentry,"['flowtest', 'abortflow', 'flowresulttypeabort', 'mockconfigentry', 'flowresulttypecreate', 'flowunknownflow', 'testscomponentsairqtest', 'tests', 'failed', 'config']","['Please finish config flows in either Create entry or abort so we also test that the config flow can recover from an error', 'Config flow tests should end with ABORT or CREATE ENTRY , this way we can check that the config flow can recover from a error', ""These failure tests should end with abort as in a successful reconfigure. Why should they be a successful reconfiguration when the user supplied wrong information? It should not. It should continue by the user setting the right information within the same flow eg the user try again. The current behavior is that if the user enters wrong information (e.g. api wrong) or the api is unresponsive he will be presented with the same flow again and the error is displayed. Do you rather want that the flow gets aborted and the user has to click Reconfigure on the ConfigEntry again? No Let's days the user enter the wrong credentials he should be presented with the form again (with an error). Then he enters the right ones and then it's success. Same for if there is a server problem or some other exception. So the same already started flow should continue (after whatever exception) and then end with an abort with the reason reconfigure succesful That is how it currently works Do you want me to test the successful case after a failure again? This test and below tests are all ending with a form which is presented to the user with an error. I want all these tests to continue from that point with the user entering data again and then it's successful eg it ends with an abort All config entry tests should end with either abort or create entry (so the tests above these are actually also not correct). Will provide some references tomorrow if still unclear what I mean. Okay now I am sure I understand what you want me to do. I still don't understand why ? This is the first I am hearing or seeing any of this and explains my confusion. What is the reasoning behind this rule? If I look at the code for this integration I see 3 scenarios to be tested: 1. The user is presented a form is where information can be entered. 2. When the user enters correct data in the form and no errors are encountered the user gets the info that create reconfigure was successful 3. When the user enters incorrect data or an error is encountered, the form is displayed again with an error description. From my point of view what you want to test is a combination of scenario 1- 3- 2. We test each scenario separately. As there is not internal state between the scenarios I do not see why we would need to test the whole roundtrip. What am I missing? We should test that for any type of exception the flow can recover from those exceptions and continue until either an entry is created or we abort the flow. I would have been glad if you had pointed why this is a missing scenario in my comment above. I will add additional test cases to get this merged.... I'm not sure I understand what you mean. In the test cases with an exception you end them with a form which means the flows are still open. I don't want to have more tests, I want the current tests extended so they finish properly. We want such test cases to continue from that point so we remove the exception, allow the user to again enter the form data so it can end in a success ( create entry or abort ). By this the flows ends properly and we also see that a config flow can recover from exceptions so a user would not have to restart a flow but can simply again put in form data and press submit. [Here]( L63-L122) is an example what I mean by a recover from a failure so in this case it ends with create entry Extended all failure config flow tests.""]"
103,43,103_pylint_pylintdisable_pylib_pymodbus,"['pylint', 'pylintdisable', 'pylib', 'pymodbus', 'pylance', 'importerror', 'unusedimport', 'pip', 'contextlib', 'import']","['No need to disable this pylint check', 'Fixed in pylint 2.7.3.', 'Fixed in pylint 2.7.3']"
104,43,104_errors_error_errorsbase_fails,"['errors', 'error', 'errorsbase', 'fails', 'failures', 'validation', 'inconsistent', 'sfrboxerror', 'removed', 'occurred']","['errors removed', 'Errors is always set', 'Should this be an error?']"
105,42,105_return_type_types_resultresponse,"['return', 'type', 'types', 'resultresponse', 'typed', 'method', 'result', 'specify', 'typing', 'validate']","['Please add a return type', 'Return type', 'Return type Done']"
106,42,106_use_used_using_obsolete,"['use', 'used', 'using', 'obsolete', 'isnt', 'anymore', 'appears', 'remove', 'version', 'doesnt']","['Seems not to be used?', 'This is not used', 'This is not used.']"
107,42,107_mypy_switchpy_empy_selectpy117,"['mypy', 'switchpy', 'empy', 'selectpy117', 'dtpy51', 'pytyped', 'simplisafepython', 'python', 'pythonbinance', 'pep0484']","['mypy does not agree with the changes', 'If this is only here to make mypy happy, do like this instead:', ""Looks like mypy can't figure it out without it. Without this line mypy gives me those errors:""]"
108,42,108_necessary_required_needed_need,"['necessary', 'required', 'needed', 'need', 'anymore', 'longer', '', '', '', '']","['not needed', 'Not needed', 'not needed']"
109,42,109_constpy_const_constants_constant,"['constpy', 'const', 'constants', 'constant', 'consts', 'conftestpy', 'conf', 'import', 'pywmspro', 'declare']","['Any of these constants that are defined identically in multiple files should be added to a const file and then imported. TYPE , ID , PROPERTY NAME , PROPERTY VALUE , etc', ""I think this might be causing the circular import. Normal procedure is to create the shared constants in const.py then import those elsewhere. I don't think we should import consts from other files back into const.py"", 'You defined constants in const.py : DEFAULT HOST, DEFAULT USERNAME, what is the use for them? Now I use those constants, done!']"
110,42,110_checks_checking_checked_check,"['checks', 'checking', 'checked', 'check', 'checkin', 'optional', 'remove', 'false', 'removed', 'value']","['Why you need this check?', 'Do we need this check?', 'Move this check up before we do anything else.']"
111,42,111_writingtestsforintegrations_tests_testing_test,"['writingtestsforintegrations', 'tests', 'testing', 'test', 'mock', 'assert', 'integrations', 'integration', 'diagnosticsdata', 'asserting']","[""We don't want to access hass.data in tests since thats considered integration details. patch the library instead and call async fire time changed writing-tests-for-integrations"", ""Please don't access integration details like the coordinator in the tests. We only want to assert core state. writing-tests-for-integrations"", 'We should not access integration details in the tests. writing-tests-for-integrations']"
112,41,112_humidity_humidifying_humidifier_humidifiers,"['humidity', 'humidifying', 'humidifier', 'humidifiers', 'dehumidifier', 'dehumidify', 'climateentityfeaturetarget', 'dehumidifying', 'airzoneentity', 'configget']","[""Let's remove this, conversion to and from a scale other than humidity in can be implemented via the target humidity command template and target humidity state template instead. Remove this functionality"", 'At self. attr target humidity None at self. init () instead if CONF HUMIDITY STATE TOPIC is None', 'Do we not need a CONF HUMIDITY COMMAND TOPIC too? Further it would be good to add CONF MIN HUMIDITY and CONF MAX HUMIDITY as well.']"
113,41,113_fields_omitted_remove_unused,"['fields', 'omitted', 'remove', 'unused', 'omit', 'drop', 'cleaned', 'format', 'removed', 'values']","['Please remove empty fields', 'Please remove empty fields', 'Remove empty fields']"
114,41,114_lists_comprehensions_comprehension_list,"['lists', 'comprehensions', 'comprehension', 'list', 'dict', 'python', 'iterate', 'loops', 'iterations', 'iteration']","['You can use a list comprehension for this one.', 'This could become a list comprehension', 'This could be a list comprehension']"
115,40,115_bluetooth_bluetoothserviceinfobleak_ble_bt,"['bluetooth', 'bluetoothserviceinfobleak', 'ble', 'bt', 'bthome', 'deviceaddress', 'devices', 'xiaomi', 'device', 'connectable']","['Do not hold on to the ble device . [See the Bluetooth docs for best practices](', 'There is still some use of ""august"" in the test fixtures. This is expected as the yale (company) code was forked from the original august code and they still have august all over the place internally. Even the yale locks you buy have august in the bluetooth firmware (although there are no references on the packaging or device) Its all super confusing. I\'ll try to summarize what I know but even some of this is based on discovery and patchwork information as even the people working at entities themselves don\'t seem to have the full story. August was sold to [ASSA ABLOY]( and than the North American devices were spun off into yet another company ""Yale August"" aka august . - The original august system is ""dead"". - The yale integration will be for what the ""ASSA ABLOY"" company is doing. aka yale fork aka outside of North America. ""ASSA ABLOY"" is moving most all of their existing integrations to this platform. Yale Doorman and other similar devices will only eventually be supported here. Push updates are currently broken here because the api is now websocket based. - The august integration will be for what the ""Yale August"" company is doing. aka august fork aka North America. Assure2 locks and the Assume locks will only be supported here. The original August company devices are folding into Yale August . The august company is keeping the current pubnub based system for integrations at this time. They may move to another system but thats unknown at this point.', 'See the xiaomi ble config flow tests for all the cases that we normally test for bluetooth flows. Eg: L732-L733 L801-L802 L820-L823']"
116,40,116_dataupdatecoordinator_settingdataupdatecoordinator_selectdataupdatecoordinator_timestampdataupdatecoordinator,"['dataupdatecoordinator', 'settingdataupdatecoordinator', 'selectdataupdatecoordinator', 'timestampdataupdatecoordinator', 'plenticoreselectupdatecoordinator', 'plenticoreupdatecoordinator', 'tedupdatecoordinator', 'updates', 'async', 'coordiantor']","['This is already part of the constructor of the DataUpdateCoordinator', 'Not needed since using DataUpdateCoordinator', 'Why not use a DataUpdateCoordinator ?']"
117,38,117_updatefailed_updates_update_raise,"['updatefailed', 'updates', 'update', 'raise', 'raising', 'status', 'implemented', 'fetch', 'fetching', 'fixing']","['Raise UpdateFailed directly and drop the try except', 'We want to raise UpdateFailed in this case.', 'raise UpdateFailed']"
